code;text;exclusive;recode
ats_1;"""Auswahl und Thematisierung von Inhalten und Fachmethoden""";0;0
ats_1_1;"""Auswahl von bedeutungsvollen, dem Lernstand angemessenen Inhalten sowie Fachmethoden""";0;0
ats_1_1_1;"""Ich habe das Gefühl, unsere Lehrkraft wählt Unterrichtsinhalte sehr bewusst für uns aus. """;0;0
ats_1_1_2;"""Unsere Lehrkraft verwendet häufig das Schulbuch.""";1;0
ats_1_1_3;"""Unsere Lehrkraft bezieht auch zusätzliches Material ein (z. B. aus dem Internet, mitgebrachte Gegenstände). """;1;0
ats_1_1_4;"""Ich habe das Gefühl, dass das Vorgehen im Unterricht zum Inhalt passt.""";1;0
ats_1_1_5;"""Die Arbeitstechniken, die ich im Unterricht lerne, kann ich immer wieder anwenden.""";0;0
ats_1_2;"""Motivierung von Inhalten sowie Fachmethoden""";0;0
ats_1_2_1;"""Im Unterricht behandeln wir auch Aufgaben, die mit meinen Interessen oder Erfahrungen im Alltag zu tun haben.""";1;0
ats_1_2_2;"""Unsere Lehrkraft verwendet oft Beispiele aus dem täglichen Leben, um uns Inhalte zu erklären.""";0;0
ats_1_2_3;"""Unsere Lehrkraft zeigt häufig auf, wie nützlich bestimmte Inhalte im Alltag sein können.""";1;0
ats_1_2_4;"""Unsere Lehrkraft kann auch langweiligere Themen wirklich interessant machen.""";0;0
ats_1_2_5;"""Unsere Lehrkraft stellt oft Zusammenhänge mit den Inhalten anderer Fächer her. """;1;0
ats_1_3;"""Strukturierung der thematisierten Inhalte sowie Fachmethoden""";0;0
ats_1_3_1;"""Unsere Lehrkraft informiert uns, was wir in den nächsten Wochen im Unterricht durchnehmen.""";1;0
ats_1_3_2;"""Unsere Lehrkraft sagt uns am Anfang der Stunde, was sie mit uns lernen will.""";1;0
ats_1_3_3;"""Im Verlauf der Stunde wiederholt unsere Lehrkraft kurz Inhalte vergangener Stunden. """;1;0
ats_1_3_4;"""Am Ende der Stunde fassen wir die wichtigsten Inhalte und Ergebnisse zusammen. """;1;0
ats_1_3_5;"""Im Verlauf der Stunde hebt unsere Lehrkraft immer wieder hervor, was wichtig ist. """;1;0
ats_1_3_6;"""Unsere Lehrkraft drückt sich im Unterricht klar und verständlich aus. """;0;0
ats_1_3_7;"""Bei den Arbeitsaufträgen im Unterricht weiß ich immer genau, was ich tun soll. """;1;0
ats_1_3_8;"""Der Verlauf der Unterrichtsstunde ist für mich nachvollziehbar.""";1;0
ats_1_3_9;"""Unsere Lehrkraft erklärt uns, warum die besprochenen Inhalte für unser späteres Lernen wichtig sind.""";1;0
ats_1_3_10;"""Unsere Lehrkraft hebt die Beziehung zwischen den besprochenen Themen hervor. """;0;0
ats_1_3_11;"""Bei der Erarbeitung eines Themas gehen wir Schritt für Schritt vor. """;1;0
ats_1_3_12;"""Unsere Lehrkraft gibt anschauliche Beispiele, um den Stoff zu erklären.""";1;0
ats_1_4;"""Akkuratheit und Korrektheit der thematisierten Inhalte sowie Fachmethoden""";0;0
ats_1_4_1;"""Unsere Lehrkraft verwendet häufig Fachbegriffe.""";1;0
ats_1_4_2;"""Ich habe das Gefühl, dass unsere Lehrkraft manchmal selbst nicht genau weiß, was ein Begriff bedeutet.""";1;1
ats_1_4_3;"""Unsere Lehrkraft achtet darauf, dass wir Begriffe richtig verwenden. """;0;0
ats_1_4_4;"""Unsere Lehrkraft macht oft Fehler.""";1;1
ats_1_4_5;"""Wir weisen unsere Lehrkraft manchmal darauf hin, dass sie einen Fehler gemacht hat.""";1;1
ats_1_4_6;"""Unsere Lehrkraft entdeckt eigene Fehler selbst.""";1;0
ats_1_4_7;"""Ich habe das Gefühl, unsere Lehrkraft kennt ihr Fach in- und auswendig.""";0;0
ats_1_4_8;"""Unsere Lehrkraft wirkt bei manchen Themen nicht ganz sicher.""";1;1
koa_2;"""Kognitive Aktivierung""";0;0
koa_2_1;"""Auswahl fachlich gehaltvoller und auf das kognitive Niveau der Schüler*innen abgestimmter Aufgaben""";0;0
koa_2_1_1;"""Die Aufgaben im Unterricht sind mir häufig zu schwer.""";1;1
koa_2_1_2;"""Die Aufgaben im Unterricht sind mir häufig zu leicht.""";1;0
koa_2_1_3;"""Bei den Aufgaben im Unterricht muss ich stark nachdenken.""";0;1
koa_2_1_4;"""Im Unterricht komme ich inhaltlich oft nicht mit.""";1;1
koa_2_2;"""Einsatz fachlich gehaltvoller Aufgaben""";0;0
koa_2_2_1;"""Unsere Lehrkraft verwendet Aufgaben, die man auf unterschiedliche Weise lösen kann.""";0;0
koa_2_2_2;"""Unsere Lehrkraft stellt Aufgaben, bei denen ich meine Ergebnisse begründen muss. """;1;0
koa_2_2_3;"""Unsere Lehrkraft stellt Aufgaben, bei denen ich erst einmal überlegen muss, wie ich sie lösen kann.""";1;0
koa_2_2_4;"""Unsere Lehrkraft benutzt verschiedene Aufgaben, sodass man sieht, was man verstanden hat.""";0;0
koa_2_2_5;"""Wir bearbeiten oft Beispiele, aus denen wir selbst Regeln ableiten sollen. """;1;0
koa_2_3;"""Unterstützung der kognitiven Aktivität der Schüler*innen""";0;0
koa_2_3_1;"""Unsere Lehrkraft fragt bei Antworten oft noch weiter nach und möchte genaue Erklärungen haben.""";1;0
koa_2_3_2;"""Unsere Lehrkraft fordert uns oft auf, unsere Annahmen zu begründen.""";1;0
koa_2_3_3;"""Unsere Lehrkraft lässt uns genug Zeit, über unsere Antworten nachzudenken.""";1;0
koa_2_3_4;"""Unsere Lehrkraft lässt uns manchmal mit unseren eigenen Vermutungen in die Irre gehen, bis wir es selbst bemerken.""";1;0
koa_2_3_5;"""Im Unterricht nimmt unsere Lehrkraft manchmal auch falsche Antworten entgegen, bis wir selbst sehen, dass etwas nicht stimmt.""";1;0
koa_2_3_6;"""Unsere Lehrkraft ermuntert mich, eigene Lösungswege zu probieren.""";0;0
koa_2_3_7;"""Unsere Lehrkraft lässt manchmal unterschiedliche Lösungen von Aufgaben vergleichen und bewerten.""";0;0
koa_2_4;"""Einsatz fachlich gehaltvoller Aufgaben""";0;0
koa_2_4_1;"""Unsere Lehrkraft lässt uns häufiger unsere Gedankengänge genau erklären.""";0;0
koa_2_4_2;"""Unsere Lehrkraft zeigt uns, wie wir bei schwierigen Aufgaben Schritt für Schritt vorgehen können.""";1;0
koa_2_4_3;"""Unsere Lehrkraft zeigt uns, wie wir verschiedene Arten von Aufgaben am besten anpacken können.""";0;0
koa_2_4_4;"""Unsere Lehrkraft zeigt uns, wie wir erkennen können, was in Aufgaben wichtig ist.""";1;0
koa_2_4_5;"""Unsere Lehrkraft gibt uns Hinweise, wie wir besser lernen können.""";1;0
uub_3;"""Unterstützung des Übens""";0;0
uub_3_1;"""Unterstützung bei der Festigung von Lern- und Anwendungsprozessen""";0;0
uub_3_1_1;"""Die Übungsaufgaben finde ich langweilig, wenn ich den Lösungsweg einmal verstanden habe.""";0;1
uub_3_1_2;"""Wir üben und wiederholen das Gelernte so lange, bis ich es alleine anwenden kann.""";1;0
uub_3_1_3;"""Wenn wir etwas Neues lernen, nimmt sich unsere Lehrkraft Zeit, um es gut zu üben.""";0;0
uub_3_1_4;"""Wir üben so, dass wir das Gelernte in verschiedenen Situationen anwenden können.""";0;0
uub_3_1_5;"""Unsere Lehrkraft lässt sich von uns immer wieder mal erklären, wie wir bei einer Übung vorgegangen sind.""";1;0
uub_3_2;"""Konstruktiver Umgang mit Fehlern und Schwierigkeiten von Schüler*innen beim Üben""";0;0
uub_3_2_1;"""Wenn wir mal einen Fehler machen, ist das nichts Schlimmes.""";1;0
uub_3_2_2;"""Mit Fehlern geht unsere Lehrkraft so um, dass wir daraus etwas lernen können.""";0;0
uub_3_2_3;"""Unsere Lehrkraft achtet darauf, dass niemand ausgelacht wird, wenn ein Fehler gemacht wird. """;1;0
uub_3_2_4;"""Unsere Lehrkraft findet es wichtig, dass wir uns bei Übungen anstrengen, auch wenn nicht alles richtig ist.""";0;0
uub_3_2_5;"""Unsere Lehrkraft gibt mir die Möglichkeit, meine Antwort zu verbessern oder zu ergänzen, wenn sie unvollständig ist. """;1;0
uub_3_2_6;"""Wenn unsere Lehrkraft selbst einen Fehler macht, gibt sie es auch zu.""";1;0
fas_4;"""Formatives Assessment""";0;0
fas_4_1;"""Klare Ausrichtung der Beurteilung auf die zu erlernenden Kompetenzen""";0;0
fas_4_1_1;"""Unsere Lehrkraft erklärt uns im Voraus, wie Prüfungen bewertet werden.""";1;0
fas_4_1_2;"""Unsere Lehrkraft sagt uns im Voraus, was wir für eine gute Note können müssen.""";1;0
fas_4_1_3;"""Unsere Lehrkraft sagt uns im Voraus, was wir für eine gute Note wissen müssen.""";0;0
fas_4_2;"""Regelmäßige Überprüfung des Verständnisses der Schüler*innen""";0;0
fas_4_2_1;"""Unsere Lehrkraft gibt mir regelmäßig Rückmeldungen zu meinen Lernfortschritten.""";1;0
fas_4_2_2;"""Unsere Lehrkraft fragt uns regelmäßig, ob wir dem Unterricht folgen können. """;1;0
fas_4_2_3;"""Unsere Lehrkraft überprüft regelmäßig, ob wir ein Thema verstanden haben.""";0;0
fas_4_3;"""Qualitativ hochwertiges Feedback an die Schüler*innen""";0;0
fas_4_3_1;"""Die Rückmeldungen unserer Lehrkraft zeigen mir, wo ich mich noch verbessern kann.""";1;0
fas_4_3_2;"""Die Hinweise und Rückmeldungen unserer Lehrkraft empfinde ich als hilfreich.""";0;0
fas_4_3_3;"""Unsere Lehrkraft erklärt uns genau, warum eine Antwort nicht ganz korrekt ist.""";1;0
fas_4_3_4;"""Nach Fehlern erfahren wir nicht nur, dass etwas falsch ist, sondern auch warum. """;0;0
fas_4_3_5;"""Wenn ich mich besonders anstrenge, lobt mich unsere Lehrkraft meistens, auch wenn andere noch besser sind als ich.""";1;0
fas_4_3_6;"""Unsere Lehrkraft kommentiert meine Prüfungen so, dass ich weiß, was ich falsch gemacht habe.""";1;0
fas_4_4;"""Nutzung des Feedbacks als Grundlage für die Ausrichtung des weiteren Unterrichts""";0;0
